City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ambovombe,-25.1667,46.0833,296.99,52,100,3.18,MG,1712912164
83,pandan,14.0453,124.1694,301.46,76,62,4.55,PH,1712912165
84,margaret river,-33.95,115.0667,294.47,55,36,5.78,AU,1712912167
85,papatowai,-46.5619,169.4708,279.04,89,21,1.0,NZ,1712912169
86,bilibino,68.0546,166.4372,262.19,87,99,0.1,RU,1712912171
87,mammoth lakes,37.6485,-118.9721,276.93,60,0,1.54,US,1712912173
88,hami,42.8,93.45,298.47,12,18,2.54,CN,1712912174
89,pauini,-7.7136,-66.9764,295.92,96,100,0.79,BR,1712912177
90,timimoun,29.2639,0.231,291.36,29,0,9.26,DZ,1712912179
91,sinazongwe,-17.2614,27.4618,294.3,85,100,2.16,ZM,1712912180
92,grants,35.1473,-107.8514,273.28,43,0,2.57,US,1712912182
93,port hedland,-20.3167,118.5667,303.18,51,0,7.2,AU,1712912183
94,holualoa,19.6228,-155.9522,299.19,83,100,2.06,US,1712912185
95,hassi messaoud,31.6804,6.0729,285.07,87,75,2.06,DZ,1712912186
96,kovdor,67.5662,30.4758,272.86,86,99,4.2,RU,1712912187
97,yuanping,38.7153,112.7575,300.93,14,24,4.27,CN,1712912189
98,badger,64.8,-147.5333,275.29,55,100,3.09,US,1712912190
99,el bauga,18.262,33.9081,306.76,11,0,6.1,SD,1712912191
100,ploneour-lanvern,47.9,-4.2833,288.31,94,0,3.6,FR,1712912193
101,georgetown,5.4112,100.3354,307.12,55,20,5.66,MY,1712912194
102,prado,-17.3411,-39.2208,296.58,93,33,2.46,BR,1712912196
103,st. john's,47.5649,-52.7093,273.69,88,20,8.75,CA,1712912197
104,ujae,8.9322,165.7642,300.63,74,100,8.52,MH,1712912198
105,hastings,50.8552,0.5729,288.93,87,99,7.08,GB,1712912200
106,beloyarskiy,63.7119,66.6722,273.71,98,100,4.92,RU,1712912202
107,iquique,-20.2208,-70.1431,292.17,80,89,1.29,CL,1712912203
108,pesaro,43.9036,12.8903,294.18,73,10,4.96,IT,1712912204
109,port elizabeth,-33.918,25.5701,293.76,63,100,5.14,ZA,1712912206
110,nizhneangarsk,55.7833,109.55,275.93,79,100,2.24,RU,1712912207
111,haiku-pauwela,20.9219,-156.3051,296.51,78,0,2.57,US,1712912209
112,lensk,60.7253,114.9278,267.34,68,100,2.27,RU,1712912210
113,port pirie,-33.1833,138.0167,288.77,72,41,4.4,AU,1712912211
114,kenai,60.5544,-151.2583,276.53,82,100,7.72,US,1712912213
115,port mathurin,-19.6833,63.4167,300.1,73,30,4.9,MU,1712912214
116,highland,34.1283,-117.2086,293.92,54,0,1.54,US,1712912216
117,cruzeiro do sul,-29.5128,-51.9853,292.88,94,100,3.03,BR,1712912218
118,iqaluit,63.7506,-68.5145,265.0,85,100,8.23,CA,1712912219
119,kingston,17.997,-76.7936,300.68,84,20,4.63,JM,1712912220
120,mount gambier,-37.8333,140.7667,284.81,74,81,1.72,AU,1712912222
121,geraldton,-28.7667,114.6,296.38,53,100,6.69,AU,1712912223
122,vernon,50.2581,-119.2691,282.38,90,100,0.89,CA,1712912105
123,atafu village,-8.5421,-172.5159,303.31,72,89,3.54,TK,1712912227
124,dudinka,69.4058,86.1778,256.86,87,100,8.05,RU,1712912228
125,vorgashor,67.5833,63.95,270.26,97,100,6.49,RU,1712912229
126,mazagao,-0.115,-51.2894,299.18,99,100,1.22,BR,1712912231
127,urmary,55.6789,47.944,286.73,48,100,7.92,RU,1712912232
128,warmbad,-28.45,18.7333,297.54,24,6,7.74,NA,1712912233
129,lihue,21.9789,-159.3672,295.92,92,100,9.77,US,1712912235
130,gisborne,-38.6533,178.0042,291.4,94,80,3.41,NZ,1712912236
131,hasaki,35.7333,140.8333,289.42,87,100,8.13,JP,1712912238
132,la ronge,55.1001,-105.2842,272.29,86,20,3.6,CA,1712912239
133,anadyr,64.75,177.4833,262.43,79,0,4.0,RU,1712912241
134,gorom-gorom,14.4439,-0.2361,309.75,7,75,7.67,BF,1712912242
135,dingzhou,38.5131,114.9956,300.21,31,0,6.55,CN,1712912244
136,mitsamiouli,-11.3847,43.2844,302.62,76,95,3.86,KM,1712912245
137,arraial do cabo,-22.9661,-42.0278,297.07,78,75,4.63,BR,1712912246
138,weno,7.4515,151.8468,300.52,82,93,6.43,FM,1712912249
139,hadibu,12.65,54.0333,304.02,59,28,1.82,YE,1712912251
140,remire-montjoly,4.9167,-52.2667,300.17,89,75,4.12,GF,1712912252
141,uturoa,-16.7333,-151.4333,302.33,75,96,9.14,PF,1712912254
142,richards bay,-28.783,32.0377,294.8,48,3,4.22,ZA,1712912256
143,rosarito,32.3333,-117.0333,286.78,89,0,1.6,MX,1712912257
144,pokrovsk,48.282,37.1758,297.63,41,95,3.49,UA,1712912259
145,aasiaat,68.7098,-52.8699,266.38,95,100,2.79,GL,1712912260
146,saipan,15.1355,145.701,301.54,74,20,5.66,MP,1712912262
147,san patricio,28.017,-97.5169,294.17,63,89,3.27,US,1712912264
148,masterton,-40.9597,175.6575,286.42,99,100,0.8,NZ,1712912265
149,lebu,-37.6167,-73.65,282.26,87,2,2.02,CL,1712912267
150,villa elisa,-25.3667,-57.6167,297.92,95,75,2.06,PY,1712912268
151,utrik,11.2278,169.8474,299.59,75,100,9.27,MH,1712912272
152,gizo,-8.103,156.8419,302.15,77,69,3.51,SB,1712912273
153,embrun,44.5639,6.4953,290.52,52,15,1.3,FR,1712912276
154,andergrove,-21.0833,149.1833,295.73,77,0,5.9,AU,1712912278
155,julio de castilhos,-29.2269,-53.6817,289.06,98,100,5.9,BR,1712912003
156,hermanus,-34.4187,19.2345,290.82,55,7,7.39,ZA,1712912281
157,carnarvon,-24.8667,113.6333,299.75,56,55,8.58,AU,1712912283
158,ibanda,-2.7974,32.4746,295.75,83,97,4.7,TZ,1712912287
159,andovoranto,-18.95,49.1,302.1,73,58,3.86,MG,1712912289
160,vilyuchinsk,52.9306,158.4028,277.3,89,90,1.03,RU,1712912290
161,lodja,-3.4833,23.4333,306.03,48,99,1.29,CD,1712912292
162,papao,-17.75,-149.55,299.97,85,85,12.18,PF,1712912294
163,mount pearl,47.5166,-52.7813,273.23,89,20,8.75,CA,1712912296
164,vadso,70.0744,29.7487,273.64,86,75,3.6,NO,1712912298
165,qaqortoq,60.7167,-46.0333,262.63,80,6,2.45,GL,1712912299
166,sabang,5.8933,95.3214,302.91,74,100,6.9,ID,1712912302
167,tralee,52.2704,-9.7026,285.29,94,75,6.17,IE,1712912305
168,am timan,11.0297,20.2827,310.9,7,70,4.64,TD,1712912307
169,port saint john's,-31.6229,29.5448,293.69,48,16,5.43,ZA,1712912309
170,kailua-kona,19.6406,-155.9956,301.26,88,100,2.06,US,1712912076
171,afaahiti,-17.75,-149.2833,299.08,86,93,11.24,PF,1712912312
172,kourou,5.1552,-52.6478,300.18,92,96,3.08,GF,1712912314
173,kununurra,-15.7667,128.7333,304.14,45,100,3.6,AU,1712912316
174,ust-nera,64.5667,143.2,271.48,90,100,2.91,RU,1712912318
175,barra de santo antonio,-9.4047,-35.5072,298.75,81,18,0.39,BR,1712912320
176,kabalo,-6.05,26.9167,299.72,79,91,1.61,CD,1712912322
177,broome,42.2506,-75.833,290.86,92,100,7.72,US,1712912324
178,ghadamis,30.1337,9.5007,291.76,53,59,6.87,LY,1712912326
179,mandalgovi,45.7625,106.2708,288.88,18,14,9.22,MN,1712912328
180,banda aceh,5.5577,95.3222,303.13,70,100,0.95,ID,1712912329
181,flin flon,54.7682,-101.865,272.59,77,91,1.31,CA,1712912331
182,kosh-agach,50.0,88.6667,270.54,69,100,0.45,RU,1712912333
183,udachny,66.4167,112.4,257.29,72,100,4.18,RU,1712912335
184,kapa'a,22.0752,-159.319,296.33,93,100,9.77,US,1712912337
185,minas de marcona,-15.2119,-75.1103,290.14,81,100,3.53,PE,1712912339
186,gowurdak,37.8124,66.0466,294.33,53,100,2.28,TM,1712912341
187,lashio,22.9333,97.75,309.42,12,50,3.67,MM,1712912342
188,shimoda,34.6667,138.95,288.35,87,98,6.6,JP,1712912344
189,college,64.8569,-147.8028,275.33,56,100,3.09,US,1712912144
190,freetown,8.484,-13.2299,297.99,94,20,4.63,SL,1712912124
191,coquimbo,-29.9533,-71.3436,287.0,88,100,1.03,CL,1712911679
192,namibe,-15.1961,12.1522,298.31,61,41,2.44,AO,1712912058
193,selfoss,63.9331,-20.9971,275.4,77,95,3.2,IS,1712912354
194,yanam,16.7333,82.2167,308.1,37,9,3.73,IN,1712912356
195,qamdo,31.1667,97.2333,279.44,30,0,4.69,CN,1712912358
196,porto velho,-8.7619,-63.9039,297.18,94,40,0.0,BR,1712912167
197,taraz,42.9,71.3667,287.38,72,100,5.0,KZ,1712912361
198,cabo san lucas,22.8909,-109.9124,294.13,46,100,1.34,MX,1712911986
199,la passe,45.5549,-0.8967,291.71,77,28,3.32,FR,1712912367
